Pair_ID,Horse_A,Horse_B,Pair_Name
P01,H01,H02,H01_vs_H02
P02,H01,H03,H01_vs_H03
P03,H01,H04,H01_vs_H04
P04,H01,H05,H01_vs_H05
P05,H01,H06,H01_vs_H06
P06,H01,H07,H01_vs_H07
P07,H01,H08,H01_vs_H08
P08,H01,H09,H01_vs_H09
P09,H01,H10,H01_vs_H10
P10,H02,H03,H02_vs_H03
P11,H02,H04,H02_vs_H04
P12,H02,H05,H02_vs_H05
P13,H02,H06,H02_vs_H06
P14,H02,H07,H02_vs_H07
P15,H02,H08,H02_vs_H08
P16,H02,H09,H02_vs_H09
P17,H02,H10,H02_vs_H10
P18,H03,H04,H03_vs_H04
P19,H03,H05,H03_vs_H05
P20,H03,H06,H03_vs_H06
P21,H03,H07,H03_vs_H07
P22,H03,H08,H03_vs_H08
P23,H03,H09,H03_vs_H09
P24,H03,H10,H03_vs_H10
P25,H04,H05,H04_vs_H05
P26,H04,H06,H04_vs_H06
P27,H04,H07,H04_vs_H07
P28,H04,H08,H04_vs_H08
P29,H04,H09,H04_vs_H09
P30,H04,H10,H04_vs_H10
P31,H05,H06,H05_vs_H06
P32,H05,H07,H05_vs_H07
P33,H05,H08,H05_vs_H08
P34,H05,H09,H05_vs_H09
P35,H05,H10,H05_vs_H10
P36,H06,H07,H06_vs_H07
P37,H06,H08,H06_vs_H08
P38,H06,H09,H06_vs_H09
P39,H06,H10,H06_vs_H10
P40,H07,H08,H07_vs_H08
P41,H07,H09,H07_vs_H09
P42,H07,H10,H07_vs_H10
P43,H08,H09,H08_vs_H09
P44,H08,H10,H08_vs_H10
P45,H09,H10,H09_vs_H10
