Pair_ID,Lane1_MeshID,Lane2_MeshID,OUTCOME_CODE,FILENAME
P01,H01,H02,HA_long_win,H01_vs_H02__HA_long_win
P01,H01,H02,HA_medium_win,H01_vs_H02__HA_medium_win
P01,H01,H02,HA_short_win,H01_vs_H02__HA_short_win
P01,H01,H02,HB_long_win,H01_vs_H02__HB_long_win
P01,H01,H02,HB_medium_win,H01_vs_H02__HB_medium_win
P01,H01,H02,HB_short_win,H01_vs_H02__HB_short_win
P01,H01,H02,tie_photo_finish,H01_vs_H02__tie_photo_finish
P02,H01,H03,HA_long_win,H01_vs_H03__HA_long_win
P02,H01,H03,HA_medium_win,H01_vs_H03__HA_medium_win
P02,H01,H03,HA_short_win,H01_vs_H03__HA_short_win
P02,H01,H03,HB_long_win,H01_vs_H03__HB_long_win
P02,H01,H03,HB_medium_win,H01_vs_H03__HB_medium_win
P02,H01,H03,HB_short_win,H01_vs_H03__HB_short_win
P02,H01,H03,tie_photo_finish,H01_vs_H03__tie_photo_finish
P03,H01,H04,HA_long_win,H01_vs_H04__HA_long_win
P03,H01,H04,HA_medium_win,H01_vs_H04__HA_medium_win
P03,H01,H04,HA_short_win,H01_vs_H04__HA_short_win
P03,H01,H04,HB_long_win,H01_vs_H04__HB_long_win
P03,H01,H04,HB_medium_win,H01_vs_H04__HB_medium_win
P03,H01,H04,HB_short_win,H01_vs_H04__HB_short_win
P03,H01,H04,tie_photo_finish,H01_vs_H04__tie_photo_finish
P04,H01,H05,HA_long_win,H01_vs_H05__HA_long_win
P04,H01,H05,HA_medium_win,H01_vs_H05__HA_medium_win
P04,H01,H05,HA_short_win,H01_vs_H05__HA_short_win
P04,H01,H05,HB_long_win,H01_vs_H05__HB_long_win
P04,H01,H05,HB_medium_win,H01_vs_H05__HB_medium_win
P04,H01,H05,HB_short_win,H01_vs_H05__HB_short_win
P04,H01,H05,tie_photo_finish,H01_vs_H05__tie_photo_finish
P05,H01,H06,HA_long_win,H01_vs_H06__HA_long_win
P05,H01,H06,HA_medium_win,H01_vs_H06__HA_medium_win
P05,H01,H06,HA_short_win,H01_vs_H06__HA_short_win
P05,H01,H06,HB_long_win,H01_vs_H06__HB_long_win
P05,H01,H06,HB_medium_win,H01_vs_H06__HB_medium_win
P05,H01,H06,HB_short_win,H01_vs_H06__HB_short_win
P05,H01,H06,tie_photo_finish,H01_vs_H06__tie_photo_finish
P06,H01,H07,HA_long_win,H01_vs_H07__HA_long_win
P06,H01,H07,HA_medium_win,H01_vs_H07__HA_medium_win
P06,H01,H07,HA_short_win,H01_vs_H07__HA_short_win
P06,H01,H07,HB_long_win,H01_vs_H07__HB_long_win
P06,H01,H07,HB_medium_win,H01_vs_H07__HB_medium_win
P06,H01,H07,HB_short_win,H01_vs_H07__HB_short_win
P06,H01,H07,tie_photo_finish,H01_vs_H07__tie_photo_finish
P07,H01,H08,HA_long_win,H01_vs_H08__HA_long_win
P07,H01,H08,HA_medium_win,H01_vs_H08__HA_medium_win
P07,H01,H08,HA_short_win,H01_vs_H08__HA_short_win
P07,H01,H08,HB_long_win,H01_vs_H08__HB_long_win
P07,H01,H08,HB_medium_win,H01_vs_H08__HB_medium_win
